"ID","tid","sn","x","y","time","locid","prob","OriginType"
"1897159",261,44,446136.710565898,401965.166906588,20:00:00,189,0.0252615,"Dominant"
"1948667",287,42,455000.29538982,388730.221929413,20:00:00,194,0.03085447,"Dominant"
"1849354",321,10,460120.332692448,405330.526929777,07:00:00,184,0.02068237,"Dominant"
"1855239",217,7,455995.913718581,411612.164368752,08:00:00,185,0.02152643,"Dominant"
"1456195",303,16,442975.46488125,398558.953002366,07:00:00,145,0.00434611,"Non-dominant"
"1948218",278,45,454774.110664426,388712.742032437,20:00:00,194,0.03085447,"Dominant"
"1685750",266,6,434668.766377935,406525.579285775,06:00:00,168,0.01090566,"Dominant"
"1932643",88,1,469659.350324844,412465.054899383,00:00:00,193,0.02964465,"Dominant"
"1754751",214,11,435427.206290383,386744.55442762,17:00:00,175,0.0144296,"Dominant"
"1993151",103,31,433701.66125879,392785.751117498,16:00:00,199,0.03768573,"Dominant"
"1431152",120,37,465778.919446716,412039.482360523,18:00:00,143,0.00401197,"Non-dominant"
"1936536",243,27,469720.12554042,412403.343340579,15:00:00,193,0.02964465,"Dominant"
"1932580",86,38,468856.067181781,412707.300931885,22:00:00,193,0.02964465,"Dominant"
"1969241",303,35,437769.371550274,400734.638246892,18:00:00,196,0.03342425,"Dominant"
"1832883",107,44,450454.451702077,380199.579008368,19:00:00,183,0.0198714,"Dominant"
"1951762",68,12,437579.958126174,391994.584820913,04:00:00,195,0.03211366,"Dominant"
"1420769",112,24,442467.376136872,395752.108973013,13:00:00,142,0.00385466,"Non-dominant"
"1068278",102,47,439122.28439549,405275.105078112,20:00:00,107,0.00095055,"Non-dominant"
"1887321",264,26,431250.220287739,398105.973119533,12:00:00,188,0.02427099,"Dominant"
"1464760",269,9,447969.819445553,403688.961965042,05:00:00,146,0.00452348,"Non-dominant"
"1809518",340,5,455710.308209915,394016.608752005,14:00:00,180,0.01762435,"Dominant"
"1928085",279,7,474432.304294589,416159.678922466,02:00:00,192,0.02848227,"Dominant"
"1864500",134,19,419228.61543388,392274.55881795,17:00:00,186,0.02240494,"Dominant"
"1297220",64,5,445232.148991414,403665.210653837,05:00:00,130,0.0023852,"Non-dominant"
"1450273",101,3,443139.209804909,398389.751126621,03:00:00,145,0.00434611,"Non-dominant"
"1966676",249,19,437537.34892311,401382.167604366,10:00:00,196,0.03342425,"Dominant"
"1809317",329,7,456040.380923554,393678.95066473,06:00:00,180,0.01762435,"Dominant"
"1546740",303,16,442113.676484154,386961.783248504,13:00:00,154,0.00622941,"Non-dominant"
"1828510",302,41,438513.696060499,409563.598076162,22:00:00,182,0.01909223,"Dominant"
"1659632",70,35,458988.734043137,402184.358524176,15:00:00,166,0.01006719,"Dominant"
"1935822",216,7,469501.025991963,412705.301247853,18:00:00,193,0.02964465,"Dominant"
"1765061",237,28,438764.78305428,398815.799993274,17:00:00,176,0.01501848,"Dominant"
"1900875",45,14,440341.941717324,396560.591488966,23:00:00,190,0.02629245,"Dominant"
